Id;Nom;Numero;Localisation;Ville;Commune;Quartier;Position
171;Pharmacie Saint Dominique ;22 48 79 89 ;A l'angle Collège Mermoz et CNRA ;Abidjan;Cocody;COCODY CENTRE ;5.37504185,3.9725169
172;Pharmacie Saint François de Danga ;22 48 54 08 ;Cocody Danga, à côté Nid de Cocody ;Abidjan;Cocody;COCODY CENTRE ;5.3432692,4.0040499
173;Pharmacie Saint Jean ;22 44 62 49 ;Bd Latrille, face à la Cité rouge ;Abidjan;Cocody;COCODY CENTRE ;5.3372763,4.0037081
174;Pharmacie Sainte Marie ;22 48 69 20 ;Près de la maison du PDCI ;Abidjan;Cocody;COCODY CENTRE ;5.35584185,3.9938357
175;Pharmacie de la Corniche ;22 48 73 40 ;Echangeur de l'Indénié ;Abidjan;Cocody;CANEBIERE ET LYCEE TECHNIQUE ;5.34155685,4.01957785
176;Pharmacie du Lycée technique ;22 44 60 77 ;Sur la montée du Lycée technique ;Abidjan;Cocody;CANEBIERE ET LYCEE TECHNIQUE ;5.3444762,4.0111675
177;Pharmacie du Palm Club ;22 44 20 90 ;Hotel Palm Club Route du Lycée technique ;Abidjan;Cocody;CANEBIERE ET LYCEE TECHNIQUE ;5.3527268,4.0027024
178;Pharmacie Andy ;22 43 25 80 ;Riviera Golf, carrefour du Leader Price ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.3394623,3.9750336
179;Pharmacie Bel Epine ;22 43 34 31 ;Jardins de la Riviera, face à la petite mosquée ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.35451325,3.9741186
180;Pharmacie de la Riviera ;22 43 28 44 ;Grand carrefour de la Riviéra II ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.35075635,3.9652005
181;Pharmacie du Golf ;22 43 14 31 ;Centre commercial du Golf ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.3392177,3.9778004
182;Pharmacie les Elias ;22 43 28 85 ;Riviera Golf, face terrain de sports ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.3446897,3.9780551
183;Pharmacie Notre Dame des Grâces ;22 43 61 96 ;Près de la petite Mosquée de la Riviera ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.3654755,3.691001
184;Pharmacie Saint Athanase ;22 43 55 87 ;Riviéra Anono ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.3479163,3.9756728
185;Pharmacie Saint Pierre d'Anono ;22 43 90 56 ;Riviéra Anono ;Abidjan;Cocody;Riviera 1 et Riviera 2 ;5.3459851,3.9747615
186;Pharmacie de Bonoumin ;;Sur le trajet reliant Attoban à Bonoumin ;Abidjan;Cocody;Riviera Bonoumin et Attoban ;5.3610378,3.9712324
187;Pharmacie Saint Ange ;05 03 56 56 ;Riviéra Attoban, derrière le Collège André Malraux ;Abidjan;Cocody;Riviera Bonoumin et Attoban ;5.3571829,3.978292
188;Pharmacie Saint Bernard ;22 43 65 46 ;Riviéra Attoban près de la Cipharm ;Abidjan;Cocody;Riviera Bonoumin et Attoban ;5.367207,3.979402
189;Pharmacie Saint Côme et Damien ;22 49 22 49 ;Riviéra Bonoumin Lauriers 6 ;Abidjan;Cocody;Riviera Bonoumin et Attoban ;5.3723566,3.9707695
190;Pharmacie de la Riviera III ;22 47 60 06 ;Riviéra III, face au Lycée américain ;Abidjan;Cocody;Riviera 3 et Mpouto ;5.3484297,3.9536611
191;Pharmacie de M'Pouto ;22 43 12 73 ;Riviéra M'Pouto, CIAD PROMO ;Abidjan;Cocody;Riviera 3 et Mpouto ;5.3288473,3.9489233
192;Pharmacie Saint Pierre des Rosées ;22 47 42 17 ;Riviéra Allabra, face Clinique Panthéon médical ;Abidjan;Cocody;Riviera 3 et Mpouto ;5.3537171,3.9579075
193;Pharmacie Sainte Famille ;22 47 76 76 ;Riviéra Allabra, face Cap Nord ;Abidjan;Cocody;Riviera 3 et Mpouto ;5.3555345,3.967422
194;Pharmacie du Bonheur ;22 47 10 70 ;Riviera Palmeraie, après grand Rond Point ;Abidjan;Cocody;Riviera Palmeraie ;5.3694459,3.9591553
195;Pharmacie les Rosiers ;22 49 21 67 ;Palmeraie, Rond point Ecole Kouadio Assahouré ;Abidjan;Cocody;Riviera Palmeraie ;5.3704757,3.96597195
196;Pharmacie Marie Esther ;07 61 85 26 ;Rosiers 4, route de Saint Viateur ;Abidjan;Cocody;Riviera Palmeraie ;5.3762111,3.960439
197;Pharmacie Marthe Robin ;22 45 03 24 ;Route du collège St Viateur, face Cité SIPIM 3 ;Abidjan;Cocody;Riviera Palmeraie ;5.3746284,3.9558566
198;Pharmacie Mont Carmel ;22 50 07 58 ;Palmeraie, juste avant Hotel Belle Côte ;Abidjan;Cocody;Riviera Palmeraie ;5.3856862,3.9688517
199;Pharmacie Notre Dame de l'Incarnation ;08 34 04 14 ;Près du Centre de santé communautaire ;Abidjan;Cocody;Riviera Palmeraie ;5.3640857,3.9630558
200;Pharmacie Notre Dame du Refuge ;22 47 50 59 ;Bd Mittrand, après Carrefour de la Palmeraie ;Abidjan;Cocody;Riviera Palmeraie ;5.3639534,3.9522967
201;Pharmacie Palmeraie ;22 47 91 19 ;Entrée de la riviéra Palmeraie ;Abidjan;Cocody;Riviera Palmeraie ;5.36962805,3.9600628
202;Pharmacie Rue Ministre ;22 49 51 77 ;Rue Ministre, carrefour Agitel ;Abidjan;Cocody;Riviera Palmeraie ;5.3652358,3.95788
203;Pharmacie Saint Joseph de Palmeraie ;22 49 39 26 ;Rue Ministre, près terrain de sport ;Abidjan;Cocody;Riviera Palmeraie ;5.3744631,3.9527345
204;Pharmacie Saint Paul ;22 49 29 01 ;Riviéra palmeraie, cité presse ;Abidjan;Cocody;Riviera Palmeraie ;5.371705,3.965263
205;Pharmacie Saint Raphael Archange ;24 00 28 79 ;Riviéra Palmeraie, Rue ministres ;Abidjan;Cocody;Riviera Palmeraie ;5.3694374,3.9555073
206;Pharmacie Sainte Béatrice des Rosiers ;22 47 01 72 ;Palmeraie, sur Montée Programme 1 des Rosiers ;Abidjan;Cocody;Riviera Palmeraie ;5.3736677,3.9618671
207;Pharmacie Sainte Marie des Béatitudes ;22 49 11 49 ;Palmeraie, carrefour Quick market ;Abidjan;Cocody;Riviera Palmeraie ;5.3766655,3.9629944
208;Pharmacie Val de Grâce ;22 49 93 44 ;Près du Collège Les Figuiers ;Abidjan;Cocody;Riviera Palmeraie ;5.380196,3.967431
209;Pharmacie CYD Niko ;22 47 69 27 ;Bd Mitterand, après carrefour de Faya ;Abidjan;Cocody;Riviera Faya ;5.3710129,3.934469
210;Pharmacie Eau Vive ;02 50 30 25 ;Route d'Abatta, près du supermarché ;Abidjan;Cocody;Riviera Faya ;5.3587696,3.9250303
211;Pharmacie Ephrata ;05 37 78 19 ;Mission Ephrata, près de la Cité SIR ;Abidjan;Cocody;Riviera Faya ;5.3827878,3.932055
212;Pharmacie Les Catleyas ;22 47 07 79 ;Bd Mitterand, carrefour Abata ;Abidjan;Cocody;Riviera Faya ;5.3724521,3.9287154
213;Pharmacie Livie ;22 47 48 78 ;Akouedo village, gare des woro-woros ;Abidjan;Cocody;Riviera Faya ;5.353574,3.94078
214;Pharmacie 2 plateaux - Agban ;22 41 39 90 ;Près de l'hopital des impôts ;Abidjan;Cocody;Deux Plateaux ;5.366239,4.0070279
215;Pharmacie Arc en Ciel ;22 41 20 67 ;2 plateaux, Rue des Jardins ;Abidjan;Cocody;Deux Plateaux ;5.374167,3.9906271
216;Pharmacie Aurore ;22 41 18 08 ;Vallons, près de la Clinique AMI ;Abidjan;Cocody;Deux Plateaux ;5.3615181,3.9911448
217;Pharmacie des 2 plateaux ;22 41 36 04 ;Bd Latrille, entre station Oil Lybia et SOCOCE ;Abidjan;Cocody;Deux Plateaux ;5.3705396,3.9977434
218;Pharmacie des grâces ;22 41 24 27 ;Sur le trajet entre 2 plateaux et Williamsville ;Abidjan;Cocody;Deux Plateaux ;5.3682209,4.0068805
219;Pharmacie des Grâces ;22 41 24 27 ;Derrière Agban Gendarmerie, sur descente 2 plteaux ;Abidjan;Cocody;Deux Plateaux ;5.3682209,4.0068805
220;Pharmacie des Jardins ;22 41 17 70 ;Rue des jardins aux 2 plateaux ;Abidjan;Cocody;Deux Plateaux ;5.3584646,3.9899565
221;Pharmacie Divin Amour ;22 41 93 38 ;Bd Latrille, carrefour Macaci ;Abidjan;Cocody;Deux Plateaux ;5.3656367,3.9973192
222;Pharmacie du Vallon ;22 41 35 14 ;Centre commercial du Vallon ;Abidjan;Cocody;Deux Plateaux ;5.37030105,3.9913252
223;Pharmacie Espace Santé ;22 41 21 03 ;Bd Latrille Carrefour Duncan ;Abidjan;Cocody;Deux Plateaux ;5.3777764,3.9977072
224;Pharmacie Las Palmas ;22 42 14 79 ;Carrefour Las Palmas Aghien ;Abidjan;Cocody;Deux Plateaux ;5.3806834,3.9947457
225;Pharmacie Latrille ;22 41 03 68 ;Boulevard Latrille, face à l'ENA ;Abidjan;Cocody;Deux Plateaux ;5.3620305,3.9976813
226;Pharmacie Les Halles ;22 41 92 94 ;Dans la Galerie du Supermarché SOCOCE ;Abidjan;Cocody;Deux Plateaux ;5.3731513,3.9991988
227;Pharmacie Notre Dame de la Visitation ;22 41 26 08 ;Face Commissariat du 12è arr. des 2 plateaux ;Abidjan;Cocody;Deux Plateaux ;5.3741158,3.9926783
228;Pharmacie Saint Gil ;22 41 94 10 ;Rue des Jardins, face station Corlay ;Abidjan;Cocody;Deux Plateaux ;5.35581,3.9919125
229;Pharmacie Saint Joseph ;22 41 10 20 ;Rue des Jardins, face à la Clinique Les Bleuets ;Abidjan;Cocody;Deux Plateaux ;5.3705738,3.9711551
230;Pharmacie Sainte Trinité ;22 41 68 88 ;2 plateaux, route de AGBAN, à 200m station Oil Lybia ;Abidjan;Cocody;Deux Plateaux ;5.3685722,4.0002689
231;Pharmacie de la 7ème tranche ;22 52 56 83 ;2 plateaux, 7ème tranche ;Abidjan;Cocody;7è tranche ;5.39661435,3.9877643
232;Pharmacie des 7 Lys ;22 42 27 20 ;II plateaux, 7ème tranche, feu de la station Lubafrique ;Abidjan;Cocody;7è tranche ;5.384194,3.987793
233;Pharmacie des Lauréades ;22 42 48 10 ;II plateaux, 7ème tranche, ;Abidjan;Cocody;7è tranche ;5.3975561,3.9862187
234;Pharmacie Dunia ;22 52 99 99 ;Carrefour Attoban et route venant de Rue des Jardins ;Abidjan;Cocody;7è tranche ;5.374488,3.9847565
235;Pharmacie Les Tulipes ;22 42 50 17 ;Bd Latrille, face à la mosquée de Aghien ;Abidjan;Cocody;7è tranche ;5.3828755,3.9931998
236;Pharmacie Santé de vie ;22 42 05 22 ;2 pltx les Perles, fin de la rue principale Cité Sanon ;Abidjan;Cocody;7è tranche ;5.3873349,3.9976798
237;Pharmacie Bel Horizon ;22 52 24 19 ;Cocody Angré, juste après Pétro Ivoire à gauche ;Abidjan;Cocody;Angré et Mahou ;5.4058264,3.9907864
238;Pharmacie Château d'eau d'Angré ;22 51 07 49 ;Angré Château, après centre commercial Proprix ;Abidjan;Cocody;Angré et Mahou ;5.3835511,4.00514555
239;Pharmacie des Allées ;22 42 14 58 ;Cocody Angré, Caféiers 7 ;Abidjan;Cocody;Angré et Mahou ;5.4090347,3.987024
240;Pharmacie Fandasso ;21 00 18 16 ;Cité Fandasso, ;Abidjan;Cocody;Angré et Mahou ;5.4115967,3.9863191
241;Pharmacie Luminance K ;22 50 49 26 ;Vers Marché de Angré et du Centre communautaire ;Abidjan;Cocody;Angré et Mahou ;5.407587,3.9836705
242;Pharmacie Notre Dame de Fatima ;24 39 59 12 ;Plateau Dokui, carrefour Paroisse Sainte Monique ;Abidjan;Cocody;Angré et Mahou ;5.3996415,4.0015583
243;Pharmacie Sainte Harmony ;22 52 39 97 ;Cocody Angré, La Djibi ;Abidjan;Cocody;Angré et Mahou ;5.4030822,3.9809979
244;Pharmacie Analya ;47 48 54 85 ;Sortie du pont de Angré, coté 8è tranche. ;Abidjan;Cocody;La Djibi, 8ème tranche et 9ème tranche ;5.4027516,3.9612847
245;Pharmacie de la 8è tranche ;22 52 34 90 ;Angré 8ème tranche, résidence Soleil I ;Abidjan;Cocody;La Djibi, 8ème tranche et 9ème tranche ;5.3960552,3.9822024
246;Pharmacie de la Djibi ;22 52 23 76 ;La DJIBI, à gauche, devant le marché ;Abidjan;Cocody;La Djibi, 8ème tranche et 9ème tranche ;5.4054049,3.9806082
247;Pharmacie du Bien Etre ;22 50 25 34 ;Résidence Soleil III Angré 8ème tranche ;Abidjan;Cocody;La Djibi, 8ème tranche et 9ème tranche ;5.3910679,3.9759451
248;Pharmacie Hermès ;22 50 10 32 ;9ème tranche, près de la CNPS Star 12 ;Abidjan;Cocody;La Djibi, 8ème tranche et 9ème tranche ;5.3852862,3.973981
249;Pharmacie Les Arcades ;22 50 62 25 ;La Djibi, opération Les Arcades, Terminus du 305 ;Abidjan;Cocody;La Djibi, 8ème tranche et 9ème tranche ;5.4033617,3.9762917
250;Pharmacie Les Arums ;22 52 74 08 ;9è tranche, sur route menant à la Riviéra Palmeraie ;Abidjan;Cocody;La Djibi, 8ème tranche et 9ème tranche ;5.3955753,3.97702
251;Pharmacie Assonvon ;23 45 44 55 ;A côté de l'Hotel Assonvon ;Abidjan;Yopougon;Zone Est;5.3325878,4.0679811
252;Pharmacie Baïty ;23 51 77 98 ;Entre BAE et Escadron de gendarmerie ;Abidjan;Yopougon;Zone Est;5.3272621,4.0554827
253;Pharmacie Belle Fontaine ;23 51 50 55 ;Yop SICOGI, prolongement patisserie du marché ;Abidjan;Yopougon;Zone Est;5.34211335,4.0694886
254;Pharmacie Beraca ;23 45 06 52 ;Petit Toit rouge, carrefour Chapouli ;Abidjan;Yopougon;Zone Est;5.3184517,4.064783
255;Pharmacie Camp militaire ;23 51 65 10 ;Petit toit rouge, face CNPS ;Abidjan;Yopougon;Zone Est;5.3208646,4.0659823
256;Pharmacie Carrefour Koweit ;23 45 84 07 ;Quartier Koweit ;Abidjan;Yopougon;Zone Est;5.3221097,4.0546469
257;Pharmacie Chigata ;;Yopougon Koweit, à 100m carrefour des pompiers ;Abidjan;Yopougon;Zone Est;5.3271203,4.0601677
258;Pharmacie de la Cité ;23 45 87 32 ;Face Sapeurs Pompiers, sens BAE ;Abidjan;Yopougon;Zone Est;5.3816867,4.0564238
259;Pharmacie de la Mairie ;23 52 43 06 ;Selmer, face maquis Tantie Margot ;Abidjan;Yopougon;Zone Est;5.3422675,4.0459937
260;Pharmacie du Carmel ;23 53 16 32 ;Carrefour Kouté, Eglise Saint Laurent ;Abidjan;Yopougon;Zone Est;5.3856862,3.9688517
261;Pharmacie du Cinéma Boissy ;23 45 65 59 ;Toits Rouges, près du 19 arrondissement ;Abidjan;Yopougon;Zone Est;5.3272674,4.0510373
262;Pharmacie du Lavage ;23 50 25 40 ;Voie du quartier Selmer, près du bloc célibataire ;Abidjan;Yopougon;Zone Est;5.3406502,4.0724183
263;Pharmacie Eden ;23 53 12 15 ;Toit-rouge carrefour AWA ;Abidjan;Yopougon;Zone Est;5.3227651,4.0497521
264;Pharmacie Keneya ;23 45 44 65 ;Carrefour Keneya, sur la grande voie du 1er pont ;Abidjan;Yopougon;Zone Est;5.346827,4.0730963
265;Pharmacie Kouté ;23 45 39 39 ;Yopougon Kouté ;Abidjan;Yopougon;Zone Est;5.3304264,4.0740153
266;Pharmacie Laoulo ;23 46 57 98 ;Nouveau quartier, voie express, face Clinique Les Oliviers ;Abidjan;Yopougon;Zone Est;5.3331908,4.0624513
267;Pharmacie Les Béatitudes ;23 52 27 47 ;Yopougon, nouveau quartier ;Abidjan;Yopougon;Zone Est;5.3405353,4.0587961
268;Pharmacie Les Oliviers ;23 45 09 62 ;Carrefour Institut des aveugles, près Agence Green ;Abidjan;Yopougon;Zone Est;5.353221,4.0640428
269;Pharmacie Mokla ;23 45 00 15 ;Toits rouges, Carrefour Jean-Paul 2, coté école Belle Marise ;Abidjan;Yopougon;Zone Est;5.3309718,4.0455366
270;Pharmacie Nankoko ;23 45 24 80 ;Yopugon camp militaire ;Abidjan;Yopougon;Zone Est;5.3281127,4.0634736
271;Pharmacie Nouveau Quartier ;23 45 00 85 ;Yopougon Nouveau quartier 50m après le stade. ;Abidjan;Yopougon;Zone Est;5.33472225,4.0775805
272;Pharmacie Nouvelle Gabriel Gare ;23 50 50 23 ;Près de Gabriel gare ;Abidjan;Yopougon;Zone Est;5.3553159,4.0714216
273;Pharmacie Saint André ;23 46 58 77 ;Carrefour Saint André en allant PMI de Yopougon ;Abidjan;Yopougon;Zone Est;5.3423785,4.0748258
274;Pharmacie Saint Laurent ;23 50 48 79 ;Yopougon Camp militaire près du Centre Chapouli ;Abidjan;Yopougon;Zone Est;5.3198108,4.061535
275;Pharmacie Sainte Rita ;23 45 28 77 ;Carrefour sables ;Abidjan;Yopougon;Zone Est;5.3274326,4.0965003
276;Pharmacie Segaï ;23 52 21 10 ;A côté FSU Wassakara ;Abidjan;Yopougon;Zone Est;5.3521198,4.0676648
277;Pharmacie Selmer ;23 46 11 63 ;Yop Selmer, Carrefour Baron à 100m de la Mairie ;Abidjan;Yopougon;Zone Est;5.3436195,4.0685946
278;Pharmacie Sideci extension ;;Carrefour Mandjo, avant Pont Sideci ;Abidjan;Yopougon;Zone Est;5.323667,4.0832877
279;Pharmacie Siporex ;23 45 29 03 ;Carrefour SIPOREX, au 2è pont ;Abidjan;Yopougon;Zone Est;5.3555379,4.0744102
280;Pharmacie Tizra ;23 50 04 07 ;Yopougon Toits rouges ;Abidjan;Yopougon;Zone Est;5.3299116,4.0501195
281;Pharmacie Toits Rouges ;23 45 16 93 ;Yopougon Toit Rouge ;Abidjan;Yopougon;Zone Est;5.32994875,4.05255205
282;Pharmacie Wassakara ;23 45 08 14 ;Rue Princesse, près de la Cité SIB ;Abidjan;Yopougon;Zone Est;5.3465314,4.0682846
283;Pharmacie William Ponty ;23 50 86 11 ;Carrefour du collège W. Ponty ;Abidjan;Yopougon;Zone Est;5.3435931,4.072763
284;Pharmacie Akadjoba ;;Feu après le Palais de justice ;Abidjan;Yopougon;Zone Centre;5.3245128,4.0807856
285;Pharmacie Artemia ;23 52 38 54 ;En face du Palais de justice ;Abidjan;Yopougon;Zone Centre;5.326562,4.0771937
286;Pharmacie Celia ;23 45 92 34 ;Banco, route du CHU ;Abidjan;Yopougon;Zone Centre;5.3552749,4.0815211
287;Pharmacie De l'Antenne ;23 50 15 27 ;Yopougon, face Côte d'Ivoire Télécom ;Abidjan;Yopougon;Zone Centre;5.3341388,4.0731664
288;Pharmacie de Sion ;59 97 73 72 ;Yopougon SIDECI, terminus 42 ;Abidjan;Yopougon;Zone Centre;5.3190097,4.0797378
289;Pharmacie des 3 ponts ;23 45 43 70 ;Yopougon Sogefia, face PMI de Yopougon Attié ;Abidjan;Yopougon;Zone Centre;5.342455,4.0801988
290;Pharmacie Divine Grâce ;23 46 79 17 ;Yopougon CHU Entréé Port Bouet II ;Abidjan;Yopougon;Zone Centre;5.3555309,4.0867746
291;Pharmacie du Cénacle ;23 52 23 23 ;Sortie 3ème pont, près du CHU Yopougon ;Abidjan;Yopougon;Zone Centre;5.359576,4.0854469
292;Pharmacie La Maison Blanche ;23 51 47 46 ;Axe Phcie Keneya à Port Bouet 2, face station Royal ;Abidjan;Yopougon;Zone Centre;5.3474889,4.0827505
293;Pharmacie Nissi ;23 53 02 06 ;Yopougon sopim, à côté du marché du grpt foncier ;Abidjan;Yopougon;Zone Centre;5.3778846,3.9126764
294;Pharmacie Nouvelle Phénix ;23 45 22 00 ;Port Bouet II, carrefour Allocodrome ;Abidjan;Yopougon;Zone Centre;5.3477346,4.0792005
295;Pharmacie Nouvelle Wakouboué ;23 45 31 89 ;Angle Marché SICOGI, face au Lavage ;Abidjan;Yopougon;Zone Centre;5.3398129,4.0736553
296;Pharmacie Port Bouet 2 ;23 46 69 53 ;Carrefour de Port Bouet II ;Abidjan;Yopougon;Zone Centre;5.3471441,4.0876168
297;Pharmacie Roxanne ;23 45 70 75 ;Quartier CIE, derrière Clinique Grand Centre ;Abidjan;Yopougon;Zone Centre;5.3394513,4.0893512
298;Pharmacie Saint André ;23 46 58 77 ;Yopougon SICOGI, près de Cathédrale St André ;Abidjan;Yopougon;Zone Centre;5.3423785,4.0748258
299;Pharmacie Saint Christophe ;22 42 55 62 ;Station Petro Ivoire à gauche ;Abidjan;Yopougon;Zone Centre;5.4046916,3.9937239
300;Pharmacie Saint Clément ;23 46 62 36 ;Face au CHU de Yopougon ;Abidjan;Yopougon;Zone Centre;5.3568976,4.0724287
301;Pharmacie Saint Martin ;23 51 96 46 ;Yopougon, quartier SIDECI ;Abidjan;Yopougon;Zone Centre;5.3216826,4.0802034
302;Pharmacie Saint Raphael ;02 03 65 84 ;Près de la Clinique Sainte Rita ;Abidjan;Yopougon;Zone Centre;5.3413911,4.087599
303;Pharmacie Sainte Aude ;23 52 28 87 ;Banco 2, nouveau goudron, face marché gouro ;Abidjan;Yopougon;Zone Centre;5.3554713,4.0774723
304;Pharmacie Shalom ;23 53 08 73 ;Yop SOGEPHIA, pont vagabond, derrière la PMI ;Abidjan;Yopougon;Zone Centre;5.3394343,4.0797338
305;Pharmacie Scheckina ;23 52 11 31 ;Siporex, rue du Marché Gouro ;Abidjan;Yopougon;Zone Centre;5.3526401,4.0763787
306;Pharmacie Tereza ;23 50 88 56 ;Yopougon SICOGI ;Abidjan;Yopougon;Zone Centre;5.3366955,4.0839009
307;Pharmacie Valors ;23 51 80 41 ;Nouveau marché Port Bouet II ;Abidjan;Yopougon;Zone Centre;5.3471553,4.0939321
308;Pharmacie Alicia ;23 45 11 52 ;Yopougon ananeraie, route de Dabou ;Abidjan;Yopougon;Zone Ouest;5.3515939,4.1035669
309;Pharmacie Ananeraie ;23 50 87 32 ;Yopougon ananeraie ;Abidjan;Yopougon;Zone Ouest;5.3546764,4.0999601
310;Pharmacie Bethesda ;02 50 15 17 ;Yop Ananeraie, entre la Coopec et l'école Guchanrolain ;Abidjan;Yopougon;Zone Ouest;5.3488757,4.0954706
311;Pharmacie Beyniouah ;23 46 01 02 ;Niangon sud, ;Abidjan;Yopougon;Zone Ouest;5.322005,4.0933063
312;Pharmacie Che N'Talé ;23 52 62 03 ;Yopougon ananeraie, carrefour Guichanrolain ;Abidjan;Yopougon;Zone Ouest;5.3510265,4.0968284
313;Pharmacie Cité Maroc ;23 51 87 58 ;Yopougon Quartier Maroc ;Abidjan;Yopougon;Zone Ouest;5.3398909,4.1005611
314;Pharmacie d'Andokoi ;23 50 95 02 ;Yopougon Andokoi, face au Lycée municipal ;Abidjan;Yopougon;Zone Ouest;5.3623049,4.0670996
315;Pharmacie D'Attinguié ;23 47 43 30 ;;Abidjan;Yopougon;Zone Ouest;5.39827215,4.12220485
316;Pharmacie de Gesco ;23 46 99 58 ;Route de Dabou, face au marché de la GESCO ;Abidjan;Yopougon;Zone Ouest;5.3631144,4.0976473
317;Pharmacie de l'Autoroute ;23 52 61 75 ;Gesco, Terminus 34, près Brigade auto routière ;Abidjan;Yopougon;Zone Ouest;5.3430931,4.0093957
318;Pharmacie de l'Horeb ;23 51 88 89 ;Yop Sideci Lem, carrefour SGBCI, face 1er lavage ;Abidjan;Yopougon;Zone Ouest;5.3296883,4.0819027
319;Pharmacie du Carrefour Boby ;23 52 16 39 ;Niangon, base CIE ;Abidjan;Yopougon;Zone Ouest;5.3317872,4.09088405
320;Pharmacie du Jubilé ;01 05 26 10 ;Route de Dabou, face marché Bagnon ;Abidjan;Yopougon;Zone Ouest;5.3727853,4.0481772
321;Pharmacie du Progrès ;23 46 59 02 ;Yopougon Maroc, à 50m de Ivoire Oil ;Abidjan;Yopougon;Zone Ouest;5.3468494,4.0993434
322;Pharmacie ELKANAH ;23 50 88 19 ;A 100m de Grand Centre, sur l'axe de la Phcie St Hermann ;Abidjan;Yopougon;Zone Ouest;5.335359,4.0878327
323;Pharmacie Esther ;23 46 39 36 ;Niangon sud, à droite, près clinique la Rose ;Abidjan;Yopougon;Zone Ouest;5.3260264,4.1058797
324;Pharmacie Gnimah ;23 46 54 89 ;Port Bouet 2, près de l'ancienne gare, 2è arrèt du bus 39 ;Abidjan;Yopougon;Zone Ouest;5.3519204,4.0876108
325;Pharmacie Jean-Pierre ;23 46 30 03 ;Yopougon Niangon Sud à droite, Terminus 39 ;Abidjan;Yopougon;Zone Ouest;5.3221261,4.1034565
326;Pharmacie La Délivrance ;23 51 13 79 ;Zone industrielle de Yopougon ;Abidjan;Yopougon;Zone Ouest;5.3436008,4.0861935
327;Pharmacie Lagoma ;23 52 70 70 ;Niangon Académie ;Abidjan;Yopougon;Zone Ouest;5.3236897,4.108764
328;Pharmacie Le Jourdain ;23 46 06 33 ;Niangon nord, route de Cité verte ;Abidjan;Yopougon;Zone Ouest;5.3314981,4.1081748
329;Pharmacie Le Lotus ;23 45 06 66 ;Niangon Sud à gauche, Terminus Bus 27 ;Abidjan;Yopougon;Zone Ouest;5.3170826,4.0888528
330;Pharmacie Léa ;23 46 02 15 ;Yopougon Niangon ;Abidjan;Yopougon;Zone Ouest;5.3271044,4.0922051
331;Pharmacie Les Elysées ;23 46 84 85 ;Yopougon quartier Maroc ;Abidjan;Yopougon;Zone Ouest;5.3437604,4.0964314
332;Pharmacie Les Phalènes ;23 46 01 71 ;Niangon sud, près de la paroisse Saint Pierre ;Abidjan;Yopougon;Zone Ouest;5.3233439,4.0878166
333;Pharmacie Maty ;23 46 27 15 ;Près de Station Lubafrique du Maroc ;Abidjan;Yopougon;Zone Ouest;5.3326964,4.1035035
334;Pharmacie Niangon Lokoa ;23 45 07 80 ;Entrée du village Niangon Lokoa ;Abidjan;Yopougon;Zone Ouest;5.314679,4.0999854
335;Pharmacie Niangon Nord ;23 46 32 99 ;Yopougon Cité Verte ;Abidjan;Yopougon;Zone Ouest;5.3293124,4.1024611
336;Pharmacie Péniel ;23 45 42 82 ;Yopougon ananeraie, Rond Point Gesco ;Abidjan;Yopougon;Zone Ouest;5.3558394,4.0992951
337;Pharmacie Sainte Hermann ;23 50 72 77 ;Niangon Sud, carrefour Petro Ivoire ;Abidjan;Yopougon;Zone Ouest;5.3462412,4.0373963
338;Pharmacie Sainte Rita ;23 45 50 79 ;Niangon nord, près de la Paroisse Sainte Rita ;Abidjan;Yopougon;Zone Ouest;5.3274326,4.0965003
339;Pharmacie Sandrina ;23 46 47 64 ;Yopougon ananeraie, carrefour libanais ;Abidjan;Yopougon;Zone Ouest;5.3491829,4.0993478
340;Pharmacie Santé Plus ;23 52 58 66 ;Autoroute du Nord, avant Station Shell Corridor ;Abidjan;Yopougon;Zone Ouest;5.3668217,4.0999952
341;Pharmacie Siloé ;23 52 03 40 ;Yopougon ananeraie, à 200m du carrefour du CHU ;Abidjan;Yopougon;Zone Ouest;5.3548463,4.0946445
342;Pharmacie Zeulayet ;23 45 20 39 ;Face Mosquée du Maroc ;Abidjan;Yopougon;Zone Ouest;5.3400108,4.0975862
343;Pharmacie Zone Industrielle ;23 46 51 08 ;Zone industrielle, près de la BICICI ;Abidjan;Yopougon;Zone Ouest;5.38963975,4.11412675
344;Pharmacie Akwaba ;21 58 73 15 ;Dans le hall de l'aéroport ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2660156,3.90938265
345;Pharmacie Atlantique ;21 27 95 00 ;Port Bouet, Marché de nuit ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2547817,3.9640588
346;Pharmacie Balnéaire ;21 58 07 09 ;Face au 43ème Bima ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2561636,3.9574804
347;Pharmacie de la Baltique ;21 27 66 71 ;En face de l'abattoir ;Abidjan;Port Bouet;Port Bouet et Vridi ;5.2590817,3.969036
